Index,MJKDZ_Temp,MJKDZ_Humid,MJKDZ_Press,Adafruit_Temp,Adafruit_Humid,Adafruit_Press,DHT11_Temp,DHT11_Humid
87,22.21,60.31,1002.38,22.20,60.38,1002.35,21.00,71.10
88,22.19,59.88,1002.37,22.18,59.85,1002.39,21.00,71.20
89,22.19,59.74,1002.39,22.18,59.73,1002.35,21.00,71.10
90,22.19,60.09,1002.37,22.18,60.02,1002.38,21.00,71.00
91,22.17,60.25,1002.38,22.16,60.12,1002.41,21.00,71.10
92,22.16,59.90,1002.41,22.16,60.11,1002.39,21.00,71.10
93,22.17,60.23,1002.40,22.17,60.21,1002.40,21.00,71.10
94,22.17,60.09,1002.41,22.16,60.04,1002.38,21.00,71.10
95,22.16,60.78,1002.37,22.15,60.65,1002.40,21.00,71.10
96,22.15,60.49,1002.43,22.14,60.37,1002.41,21.00,71.20
97,22.14,60.16,1002.42,22.13,60.14,1002.40,21.00,71.20
98,22.15,60.43,1002.42,22.14,60.38,1002.38,21.00,71.20
99,22.15,60.42,1002.41,22.14,60.37,1002.40,21.00,71.30
100,22.15,60.09,1002.40,22.14,60.05,1002.42,21.00,71.30
101,22.15,60.05,1002.39,22.14,60.21,1002.41,21.00,71.20
102,22.15,60.38,1002.46,22.13,60.38,1002.40,21.00,71.30
103,22.15,60.59,1002.42,22.14,60.51,1002.44,21.00,71.30
104,22.13,60.65,1002.42,22.13,60.52,1002.42,21.00,71.30
105,22.14,60.35,1002.43,22.14,60.23,1002.43,21.00,71.40
106,22.14,60.06,1002.41,22.13,60.04,1002.43,21.00,71.40
107,22.14,60.26,1002.43,22.13,60.25,1002.43,21.00,71.30
108,22.14,60.65,1002.43,22.13,60.45,1002.43,21.00,71.30
109,22.13,60.25,1002.43,22.12,60.19,1002.41,21.00,71.40
110,22.13,60.36,1002.43,22.13,60.54,1002.44,21.00,71.40
111,22.15,60.38,1002.42,22.15,60.35,1002.45,21.00,71.40
112,22.16,60.37,1002.46,22.16,60.42,1002.46,21.00,71.40
113,22.17,60.24,1002.43,22.17,60.20,1002.44,21.00,71.40
114,22.17,60.43,1002.45,22.17,60.40,1002.42,21.00,71.40
115,22.17,60.34,1002.45,22.16,60.42,1002.44,21.00,71.40
116,22.17,60.07,1002.43,22.16,60.06,1002.45,21.00,71.40
117,22.16,60.10,1002.45,22.15,60.07,1002.45,21.00,71.40
118,22.16,60.23,1002.45,22.16,60.40,1002.45,21.00,71.40
119,22.17,60.09,1002.45,22.16,60.07,1002.45,21.00,71.40
120,22.15,60.05,1002.43,22.14,60.02,1002.42,21.00,71.40
121,22.14,60.04,1002.43,22.14,60.18,1002.45,21.00,71.30
122,22.14,60.10,1002.43,22.13,60.26,1002.45,21.00,71.30
123,22.12,60.14,1002.44,22.12,60.10,1002.46,21.00,71.30
124,22.13,60.52,1002.41,22.13,60.47,1002.44,21.00,71.20
125,22.14,60.26,1002.47,22.14,60.23,1002.46,21.00,71.30
126,22.15,60.37,1002.44,22.15,60.35,1002.47,21.00,71.30
127,22.16,60.10,1002.45,22.14,60.04,1002.44,21.00,71.30
128,22.15,60.21,1002.47,22.15,60.18,1002.45,21.00,71.30
129,22.16,60.36,1002.48,22.16,60.38,1002.47,21.00,71.30
130,22.17,60.36,1002.46,22.17,60.37,1002.45,21.00,71.40
131,22.18,60.19,1002.49,22.18,60.26,1002.45,21.00,71.40
132,22.20,60.20,1002.45,22.19,60.17,1002.46,21.00,71.40
133,22.20,59.95,1002.45,22.19,59.94,1002.46,21.00,71.40
134,22.20,60.00,1002.44,22.20,60.01,1002.43,21.00,71.40
